operation,grp,code,name
LWD,LW,LWD,Reoperation för ytlig blödning
LWD00,LWD,LWD00,Reoperation för ytlig blödning efter ingrepp på kvinnliga könsorgan
LWE,LW,LWE,Reoperationer för djup blödning
LWE00,LWE,LWE00,Reoperation för djup blödning efter ingrepp på kvinnliga könsorgan
LWE01,LWE,LWE01,Perkutan endoskopisk reoperation för djup blödning efter ingrepp på kvinnliga könsorgan
LWE02,LWE,LWE02,Transluminal endoskopisk reoperation för djup blödning efter ingrepp på kvinnliga könsorgan
LWF,LW,LWF,Reoperationer för anastomos- och suturinsufficiens
LWF00,LWF,LWF00,Reoperation för anastomos- eller suturinsufficiens efter ingrepp på kvinnliga könsorgan
LWF01,LWF,LWF01,Perkutan endoskopisk reoperation för anastomos- eller suturinsufficiens efter ingrepp på kvinnliga könsorgan
LWW,LW,LWW,Andra reoperationer på kvinnliga könsorgan
LWW96,LWW,LWW96,Annan reoperation på kvinnliga könsorgan
LWW97,LWW,LWW97,Annan perkutan endoskopisk reoperation på kvinnliga könsorgan
LWW98,LWW,LWW98,Annan transluminal endoskopisk reoperation på kvinnliga könsorgan
M,,M,Obstetriska ingrepp
MA,M,MA,Ingrepp före eller i samband med förlossning
MAA,MA,MAA,Intrauterina operationer på gravid uterus och foster
MAA00,MAA,MAA00,Amniocentes
MAA03,MAA,MAA03,Amnioinfusion
MAA06,MAA,MAA06,Amnioreduktion
MAA10,MAA,MAA10,Korionvillibiopsi
MAA22,MAA,MAA22,Hysteroskopi med avlägsnande av intrauterint preventivmedel (IUP) från gravid uterus
MAA30,MAA,MAA30,Kordocentes
MAA40,MAA,MAA40,Punktion av foster
MAA43,MAA,MAA43,Fosterbiopsi
MAA51,MAA,MAA51,Embryoskopi
MAA54,MAA,MAA54,Fetoskopi
MAA96,MAA,MAA96,Annan intrauterin operation på gravid uterus eller foster
MAA98,MAA,MAA98,Annan hysteroskopisk operation på gravid uterus eller foster
MAB,MA,MAB,Diverse ingrepp på gravid uterus eller foster
MAB00,MAB,MAB00,Anläggande av cervixcerclage under graviditet
MAB03,MAB,MAB03,Avlägsnande av cervixcerclage under graviditet
MAB10,MAB,MAB10,Yttre vändning av foster
MAB20,MAB,MAB20,Vändningsförsök av foster
MAC,MA,MAC,Ingrepp för inledande eller  påskyndande av förlossning
MAC00,MAC,MAC00,Amniotomi
MAC10,MAC,MAC10,Cervixdilatation för inledande av förlossning
MAC20,MAC,MAC20,Traktion (ej extraktion) med vakuum
MAC23,MAC,MAC23,Traktion (ej extraktion) med tång
MAC96,MAC,MAC96,Annat ingrepp för inledande eller påskyndande av förlossning
MAD,MA,MAD,Vidgning av förlossningskanalen
MAD00,MAD,MAD00,Cervikotomi under förlossning
MAD20,MAD,MAD20,Pubotomi under förlossning
MAD96,MAD,MAD96,Annan vidgning av förlossningskanalen
MAE,MA,MAE,Förlossning med vakuumextraktor
MAE00,MAE,MAE00,Utgångsextraktion av foster
MAE03,MAE,MAE03,"Vakuumextraktion; medelhög eller hög"
MAE20,MAE,MAE20,Försök till vakuumextraktion av foster
MAE96,MAE,MAE96,Annat förlossningsingrepp med vakuumextraktor
MAF,MA,MAF,Förlossning med tång
MAF00,MAF,MAF00,Utgångstång för förlossning
MAF10,MAF,MAF10,Medelhög tång för förlossning
MAF20,MAF,MAF20,Tångförsök för förlossning
MAF96,MAF,MAF96,Annan tångförlossning
MAG,MA,MAG,Ingrepp vid fot- och sätesbjudning
MAG00,MAG,MAG00,"Sätesförlossning, manuell"
MAG03,MAG,MAG03,Sätesförlossning med tång på efterföljande huvud
MAG10,MAG,MAG10,Nedtagning av fot och extraktion
MAG13,MAG,MAG13,Nedtagning av fot och extraktion med tång på efterföljande huvud
MAG20,MAG,MAG20,Inre vändning och extraktion
MAG96,MAG,MAG96,Annat specificerat ingrepp vid fot- eller sätesbjudning
MAH,MA,MAH,Diverse ingrepp i samband med förlossning
MAH00,MAH,MAH00,Traktion (ej extraktion) med vakuum i samband med förlossning
MAH03,MAH,MAH03,Traktion (ej extraktion) med tång i samband med förlossning
MAH10,MAH,MAH10,Navelsträngsreposition i samband med förlossning
MAH20,MAH,MAH20,Korrektion av huvudställning (t.ex. pannbjudning) i samband med förlossning
MAH30,MAH,MAH30,Punktion av fosterhuvudet i samband med förlossning
MAJ,MA,MAJ,Reduktion av multipel graviditet
MAJ00,MAJ,MAJ00,Reduktion av multipel graviditet med ett foster
MAJ10,MAJ,MAJ10,Reduktion av multipel graviditet med fler än ett foster
MAW,MA,MAW,Andra ingrepp före eller i samband med förlossning
MAW96,MAW,MAW96,Annat ingrepp före eller i samband med förlossning
MAW98,MAW,MAW98,Annat transluminalt endoskopiskt ingrepp före eller i samband med förlossning
MB,M,MB,Ingrepp efter förlossning eller abort
MBA,MB,MBA,Exeres och avlägsnande av kvarhållen moderkaka
MBA00,MBA,MBA00,Exeres med vakuumaspiration vid missfall eller efter förlossning
MBA03,MBA,MBA03,Exeres med curettage vid missfall eller efter förlossning
MBA10,MBA,MBA10,Manuell exploration av uterus vid missfall eller efter förlossning
MBA20,MBA,MBA20,Exprimering av moderkaka
MBA30,MBA,MBA30,"Manuell lösning och uttagande av fosterhinnor, moderkaka eller rest därav"
MBA96,MBA,MBA96,Annat avlägsnande av kvarhållen moderkaka
MBB,MB,MBB,Andra manuella ingrepp på uterus efter förlossning
MBB00,MBB,MBB00,Manuell reposition av inverterad uterus
MBB10,MBB,MBB10,Tamponad av uterus eller vagina efter förlossning eller abort
MBB96,MBB,MBB96,Annat manuellt ingrepp på uterus efter förlossning
MBC,MB,MBC,Sutur och revision av förlossningsskador
MBC00,MBC,MBC00,Sutur av cervix uteri vid förlossningsskada
MBC10,MBC,MBC10,Sutur av vagina vid förlossningsskada
MBC20,MBC,MBC20,Sutur av vulva vid förlossningsskada
MBC30,MBC,MBC30,Sutur av förlossningsskada vid perinealbristning grad 1 och 2
MBC33,MBC,MBC33,Sutur av förlossningsskada vid perinealbristning grad 3 och 4
MBC40,MBC,MBC40,Revision av vulva- eller paravaginalhematom efter förlossning eller abort
MBC96,MBC,MBC96,Annan sutur eller revision av förlossningsskada
MBW,MB,MBW,Andra ingrepp efter förlossning och abort
MBW96,MBW,MBW96,Annat ingrepp efter förlossning eller abort
MC,M,MC,Kejsarsnitt och obstetrisk laparotomi
MCA,MC,MCA,Kejsarsnitt
MCA00,MCA,MCA00,Abdominalt kejsarsnitt på corpus uteri
MCA10,MCA,MCA10,Abdominalt kejsarsnitt på istmus
MCA20,MCA,MCA20,Vaginalt kejsarsnitt
MCA30,MCA,MCA30,Abdominalt kejsarsnitt med supravaginal uterusamputation
MCA33,MCA,MCA33,Abdominalt kejsarsnitt med hysterektomi
MCA96,MCA,MCA96,Annat kejsarsnitt
MCB,MC,MCB,Laparotomier med uthämtande av extrauterint foster
MCB00,MCB,MCB00,Laparotomi med uthämtande av extrauterint foster
MCC,MC,MCC,Laparotomi med sutur av uterusruptur efter förlossning
MCC00,MCC,MCC00,Laparotomi med sutur av uterusruptur efter förlossning
MCW,MC,MCW,Andra obstetriska operationer av hithörande art
MCW96,MCW,MCW96,Annan obstetrisk laparotomi
MW,M,MW,Reoperationer efter obstetriska ingrepp
MWA,MW,MWA,Reoperation för sårruptur
MWA00,MWA,MWA00,Reoperation för sårruptur efter obstetriskt ingrepp
MWB,MW,MWB,Reoperation för ytlig infektion
MWB00,MWB,MWB00,Reoperation för ytlig infektion efter obstetriskt ingrepp
MWC,MW,MWC,Reoperationer för djup infektion
MWC00,MWC,MWC00,Reoperation för djup infektion efter obstetriskt ingrepp
MWC01,MWC,MWC01,Perkutan endoskopisk reoperation för djup infektion efter obstetriskt ingrepp
MWD,MW,MWD,Reoperation för ytlig blödning
MWD00,MWD,MWD00,Reoperation för ytlig blödning efter obstetriskt ingrepp
MWE,MW,MWE,Reoperationer för djup blödning
MWE00,MWE,MWE00,Reoperation för djup blödning efter obstetriskt ingrepp
MWE01,MWE,MWE01,Perkutan endoskopisk reoperation för djup blödning efter obstetriskt ingrepp
MWE02,MWE,MWE02,Transluminal endoskopisk reoperation för djup blödning efter obstetriskt ingrepp
MWF,MW,MWF,Reoperationer för anastomos- och suturinsufficiens
MWF00,MWF,MWF00,Reoperation för anastomos- eller suturinsufficiens efter obstetriskt ingrepp
MWF01,MWF,MWF01,Perkutan endoskopisk reoperation för anastomos- eller suturinsufficiens efter obstetriskt ingrepp
MWW,MW,MWW,Andra reoperationer efter obstetriska ingrepp
MWW96,MWW,MWW96,Annan reoperation efter obstetriskt ingrepp
MWW97,MWW,MWW97,Annan perkutan endoskopisk reoperation efter obstetriskt ingrepp
MWW98,MWW,MWW98,Annan transluminal endoskopisk reoperation efter obstetriskt ingrepp
N,,N,Operationer på rörelseapparaten
NA,N,NA,Operationer på kotpelaren och nacken
NAA,NA,NAA,Explorativa operationer på kotpelaren
NAA00,NAA,NAA00,Perkutan eller sluten exploration av mjukdelar i rygg eller nacke
NAA01,NAA,NAA01,Artroskopisk eller endoskopisk exploration av mjukdelar i rygg eller nacke
NAA02,NAA,NAA02,Öppen exploration av mjukdelar i rygg eller nacke
NAA10,NAA,NAA10,Perkutan eller sluten exploration av led i rygg eller nacke
NAA11,NAA,NAA11,Artroskopisk eller endoskopisk exploration av led i rygg eller nacke
NAA12,NAA,NAA12,Öppen exploration av led i rygg eller nacke
NAA20,NAA,NAA20,Perkutan eller sluten biopsi av mjukdelar eller led i rygg eller nacke
NAA21,NAA,NAA21,Artroskopisk eller endoskopisk biopsi av mjukdelar eller led i rygg eller nacke
NAA22,NAA,NAA22,Öppen biopsi av mjukdelar eller led i rygg eller nacke
NAA30,NAA,NAA30,Perkutan eller sluten biopsi av kota
NAA31,NAA,NAA31,Artroskopisk eller endoskopisk biopsi av kota
NAA32,NAA,NAA32,Öppen biopsi av kota
NAB,NA,NAB,Primära led- och diskprotesoperationer i kotpelaren
NAB90,NA,NAB90,Primär led- och diskprotesoperation i halskotpelare
NAB91,NA,NAB91,Primär led- och diskprotesoperation i hals-bröst-kotpelare
NAB92,NA,NAB92,Primär led- och diskprotesoperation i bröstkotpelare
NAB93,NA,NAB93,Primär led- och diskprotesoperation i bröst-länd-kotpelare
NAB94,NA,NAB94,Primär led- och diskprotesoperation i ländkotpelare
NAB95,NA,NAB95,Primär led- och diskprotesoperation i hals-bröst-länd-kotpelare
NAB96,NA,NAB96,Primär led- och diskprotesoperation i lumbosakralkotpelare
NAC,NA,NAC,Sekundära led- och diskprotesoperationer i kotpelaren
NAC90,NA,NAC90,Sekunder led- och diskprotesoperation i halskotpelare
NAC91,NA,NAC91,Sekunder led- och diskprotesoperation i hals-bröst-kotpelare
NAC92,NA,NAC92,Sekunder led- och diskprotesoperation i bröstkotpelare
NAC93,NA,NAC93,Sekunder led- och diskprotesoperation i bröst-länd-kotpelare
NAC94,NA,NAC94,Sekunder led- och diskprotesoperation i ländkotpelare
NAC95,NA,NAC95,Sekunder led- och diskprotesoperation i hals-bröst-länd-kotpelare
NAC96,NA,NAC96,Sekunder led- och diskprotesoperation i lumbosakralkotpelare
NAG,NA,NAG,"Excisioner, rekonstruktioner och fusioner av leder i kotpelaren"
NAG09,NAG,NAG09,Excisionsartroplastik i kotpelare
NAG19,NAG,NAG19,Interpositionsartroplastik i kotpelare
NAG29,NAG,NAG29,Annan artroplastik i kotpelare
NAG39,NAG,NAG39,Främre fusion utan fixationsmaterial
NAG49,NAG,NAG49,Främre fusion med intern fixation
NAG59,NAG,NAG59,Främre fusion med extern fixation
NAG69,NAG,NAG69,Bakre fusion utan fixation
NAG79,NAG,NAG79,Bakre fusion med fixation
NAG89,NAG,NAG89,Unilateral bakre fusion
NAG99,NAG,NAG99,"Annan excision, rekonstruktion eller fusion av leder i kotpelare"
NAH,NA,NAH,Diverse operationer på leder i kotpelaren
NAH00,NAH,NAH00,Perkutan eller sluten reposition av luxerad led i kotpelare
NAH01,NAH,NAH01,Artroskopisk eller endoskopisk reposition av luxerad led i kotpelare
NAH02,NAH,NAH02,Öppen reposition av luxerad led i kotpelare
NAH90,NAH,NAH90,Annan perkutan eller sluten ledoperation i kotpelare
NAH91,NAH,NAH91,Annan artroskopisk eller endoskopisk ledoperation i kotpelare
NAH92,NAH,NAH92,Annan öppen ledoperation i kotpelare
NAJ,NA,NAJ,Frakturkirurgi i kotpelaren
NAJ09,NAJ,NAJ09,Sluten reposition av fraktur i kotpelare
NAJ19,NAJ,NAJ19,Öppen reposition av fraktur i kotpelare
NAJ29,NAJ,NAJ29,Extern fixation av fraktur i kotpelare
NAJ39,NAJ,NAJ39,Osteosyntes av fraktur i kotpelare med bioimplantat
NAJ49,NAJ,NAJ49,Osteosyntes av fraktur i kotpelare med cerklage eller stag
NAJ69,NAJ,NAJ69,Osteosyntes av fraktur i kotpelare med platta och skruvar
NAJ79,NAJ,NAJ79,Osteosyntes av fraktur i kotpelare med skruvar enbart
NAJ89,NAJ,NAJ89,Osteosyntes av fraktur i kotpelare med annan eller kombinerad metod
NAJ99,NAJ,NAJ99,Annan frakturkirurgi i kotpelare
NAK,NA,NAK,Operationer på kotor
NAK09,NAK,NAK09,Excision av kotfragment
NAK19,NAK,NAK19,Partiell eller total excision av kota
NAK29,NAK,NAK29,Fenestrering av kota
NAK39,NAK,NAK39,Curettage av cysta i kota
NAK49,NAK,NAK49,Kotplastik
NAK99,NAK,NAK99,Annan operation på kota
NAL,NA,NAL,Operationer på muskler och senor i kotpelaren och nacken
NAL09,NAL,NAL09,Friläggning av muskel i kotpelare eller nacke
NAL19,NAL,NAL19,Sutur eller rekonstruktion av muskel i kotpelare eller nacke
NAL29,NAL,NAL29,Transposition av muskel i kotpelare eller nacke
NAL39,NAL,NAL39,Myotomi eller tenotomi i kotpelare eller nacke
NAL79,NAL,NAL79,Excision av muskel eller sena i kotpelare eller nacke
NAL99,NAL,NAL99,Annan operation på muskel eller sena i kotpelare eller nacke
NAM,NA,NAM,Operationer på fascior och bursor i kotpelaren och nacken
NAM09,NAM,NAM09,Fasciotomi i kotpelare eller nacke
NAM19,NAM,NAM19,Partiell eller total excision av fascia i kotpelare eller nacke
NAM29,NAM,NAM29,Sutur av fascia i kotpelare eller nacke
NAM39,NAM,NAM39,Excision av synovialganglion i kotpelare eller nacke
NAM79,NAM,NAM79,Excision av bursa i kotpelare eller nacke
NAM99,NAM,NAM99,Annan operation på fascia eller bursa i kotpelare eller nacke
NAN,NA,NAN,Transplantationer i kotpelaren
NAN09,NAN,NAN09,Autotransplantation av ben till kotpelare
NAN19,NAN,NAN19,Homotransplantation av ben till kotpelare
NAN29,NAN,NAN29,Heterotransplantation av ben till kotpelare
NAN49,NAN,NAN49,"Transplantation av brosk, periost eller fascia i kotpelare"
NAN99,NAN,NAN99,Annan transplantation i kotpelare
NAR,NA,NAR,Operationer för tumörer i kotpelaren
NAR09,NAR,NAR09,Intralesionell excision av mjukdelstumör i kotpelare
NAR19,NAR,NAR19,Marginell excision av mjukdelstumör i kotpelare
NAR29,NAR,NAR29,Vid excision av mjukdelstumör i kotpelare
NAR39,NAR,NAR39,Kompartmentell excision av mjukdelstumör i kotpelare
NAR49,NAR,NAR49,Intralesionell excision av ben- eller brosktumör i kotpelare
NAR59,NAR,NAR59,Marginell excision av ben- eller brosktumör i kotpelare
NAR69,NAR,NAR69,Vid excision av ben- eller brosktumör i kotpelare
NAR79,NAR,NAR79,Kompartmentell excision av ben- eller brosktumör i kotpelare
NAR99,NAR,NAR99,Annan operation för tumör i kotpelare
NAS,NA,NAS,Operationer vid infektion i kotpelaren
NAS19,NAS,NAS19,Incision och debridering vid septisk spondylartrit
NAS29,NAS,NAS29,Incision och debridering vid osteit i kotpelare
NAS49,NAS,NAS49,Incision och debridering vid septisk spondylartrit med implantation av läkemedel
NAS59,NAS,NAS59,Incision och debridering vid osteit i kotpelare med implantation av läkemedel
NAS69,NAS,NAS69,Incision och debridering vid diskit
NAS99,NAS,NAS99,Annan operation vid infektion i kotpelare
NAT,NA,NAT,Diverse operationer i kotpelaren
NAT09,NAT,NAT09,Avlägsnande av främmande kropp från vävnad i kotpelaren eller nacken
NAT19,NAT,NAT19,Spinal korrektion med främre korrektionsinstrument
NAT29,NAT,NAT29,Spinal korrektion med bakre korrektionsinstrument
NAT99,NAT,NAT99,Annan operation i kotpelare
NAU,NA,NAU,Extraktioner av implantat och externt fixationsmaterial från kotpelaren och nacken
NAU39,NAU,NAU39,Extraktion av externt fixationsmaterial från kotpelare eller nacke
NAU49,NAU,NAU49,Extraktion av internt fixationsmaterial från kotpelare eller nacke
NAU89,NAU,NAU89,Extraktion av implantat för infektionsbehandling från kotpelare eller nacke
NAU99,NAU,NAU99,Extraktion av annat implantat från kotpelare eller nacke
NAW,NA,NAW,Reoperationer i kotpelaren och nacken
NAW49,NAW,NAW49,Sutur av sårruptur i kotpelare eller nacke
NAW59,NAW,NAW59,Reoperation för ytlig infektion i kotpelare eller nacke
NAW69,NAW,NAW69,Reoperation för djup infektion i kotpelare eller nacke
NAW79,NAW,NAW79,Reoperation för ytlig blödning i kotpelare eller nacke
NAW89,NAW,NAW89,Reoperation för djup blödning i kotpelare eller nacke
NAW99,NAW,NAW99,Annan reoperation i kotpelare eller nacke
NB,N,NB,Operationer på axlar och överarmar
NBA,NB,NBA,Explorativa operationer på axlar och överarmar
NBA00,NBA,NBA00,Perkutan exploration av mjukdelar i axel eller överarm
NBA01,NBA,NBA01,Artroskopisk eller endoskopisk exploration av mjukdelar i axel eller överarm
NBA02,NBA,NBA02,Öppen exploration av mjukdelar i axel eller överarm
NBA10,NBA,NBA10,Perkutan exploration av axelled eller överarm
NBA11,NBA,NBA11,Artroskopisk eller endoskopisk exploration av axelled eller överarm
NBA12,NBA,NBA12,Öppen exploration av axelled eller överarm
NBA20,NBA,NBA20,Perkutan biopsi av mjukdelar eller led i axel eller överarm
NBA21,NBA,NBA21,Artroskopisk eller endoskopisk biopsi av mjukdelar eller led i axel eller överarm
NBA22,NBA,NBA22,Öppen biopsi av mjukdelar eller led i axel eller överarm
NBA30,NBA,NBA30,Perkutan benbiopsi i axel eller överarm
NBA31,NBA,NBA31,Artroskopisk eller endoskopisk benbiopsi i axel eller överarm
NBA32,NBA,NBA32,Öppen benbiopsi i axel eller överarm
NBB,NB,NBB,Primära ledprotesoperationer i skulderleder
NBB09,NBB,NBB09,Primär halv- eller delprotes i humeroskapularled utan cement
NBB19,NBB,NBB19,Primär halv- eller delprotes i humeroskapularled med cement
NBB29,NBB,NBB29,Primär totalprotes i humeroskapularled utan cement
NBB39,NBB,NBB39,Primär totalprotes i humeroskapularled med hybridteknik
NBB49,NBB,NBB49,Primär totalprotes i humeroskapularled med cement
NBB59,NBB,NBB59,Primär omvänd totalprotes i humeroskapularled utan cement
NBB69,NBB,NBB69,Primär omvänd totalprotes i humeroskapularled med hybridteknik
NBB99,NBB,NBB99,Annan primär ledprotesoperation i skulderled
NBC,NB,NBC,Sekundära ledprotesoperationer i skulderleder
NBC09,NBC,NBC09,Sekundär halv- eller delprotes i humeroskapularled utan cement
NBC19,NBC,NBC19,Sekundär halv- eller delprotes i humeroskapularled med cement
NBC29,NBC,NBC29,Sekundär totalprotes i humeroskapularled utan cement
NBC39,NBC,NBC39,Sekundär totalprotes i humeroskapularled med hybridteknik
NBC49,NBC,NBC49,Sekundär totalprotes i humeroskapularled med cement
NBC59,NBC,NBC59,Sekundär omvänd totalprotes i humeroskapularled utan cement
NBC69,NBC,NBC69,Sekundär omvänd totalprotes i humeroskapularled med hybridteknik
NBC99,NBC,NBC99,Annan sekundär ledprotesoperation i axel
NBE,NB,NBE,Operationer på ledkapslar och ledband i skulderleder
NBE00,NBE,NBE00,Perkutan eller sluten incision i eller sutur av ledkapsel i axel
NBE01,NBE,NBE01,Artroskopisk eller endoskopisk incision i eller sutur av ledkapsel i axel
NBE02,NBE,NBE02,Öppen incision i eller sutur av ledkapsel i axel
NBE10,NBE,NBE10,Perkutan eller sluten transcision eller excision av ligament i axel
NBE11,NBE,NBE11,Artroskopisk eller endoskopisk transcision eller excision av ligament i axel
NBE12,NBE,NBE12,Öppen transcision eller excision av ligament i axel
NBE20,NBE,NBE20,Perkutan eller sluten sutur eller replantation av ligament i axel
NBE21,NBE,NBE21,Artroskopisk eller endoskopisk sutur eller replantation av ligament i axel
NBE22,NBE,NBE22,Öppen sutur eller replantation av ligament i axel
NBE30,NBE,NBE30,Perkutan eller sluten transposition av ligament i axel
NBE31,NBE,NBE31,Artroskopisk eller endoskopisk transposition av ligament i axel
NBE32,NBE,NBE32,Öppen transposition av ligament i axel
NBE40,NBE,NBE40,Perkutan eller sluten rekonstruktion av ligament i axel utan främmande material
NBE41,NBE,NBE41,Artroskopisk eller endoskopisk rekonstruktion av ligament i axel utan främmande material
NBE42,NBE,NBE42,Öppen rekonstruktion av ligament i axel utan främmande material
NBE50,NBE,NBE50,Perkutan eller sluten rekonstruktion av ligament i axel med främmande material
NBE51,NBE,NBE51,Artroskopisk eller endoskopisk rekonstruktion av ligament i axel med främmande material
NBE52,NBE,NBE52,Öppen rekonstruktion av ligament i axel med främmande material
NBE90,NBE,NBE90,Annan perkutan eller sluten operation på ledkapsel eller ledband i skulderled
NBE91,NBE,NBE91,Annan artroskopisk eller endoskopisk operation på ledkapsel eller ledband i skulderled
NBE92,NBE,NBE92,Annan öppen operation på ledkapsel eller ledband i skulderled
NBF,NB,NBF,Operationer på ledhinnor och ledytor i skulderleder
NBF00,NBF,NBF00,Perkutan eller sluten total synovektomi i humeroskapularled
NBF01,NBF,NBF01,Artroskopisk eller endoskopisk total synovektomi i humeroskapularled
NBF02,NBF,NBF02,Öppen total synovektomi i humeroskapularled
NBF10,NBF,NBF10,Perkutan eller sluten partiell synovektomi i humeroskapularled
NBF11,NBF,NBF11,Artroskopisk eller endoskopisk partiell synovektomi i humeroskapularled
NBF12,NBF,NBF12,Öppen partiell synovektomi i humeroskapularled
NBF20,NBF,NBF20,"Fixation av ledytefragment i humeroskapularled, perkutan eller sluten"
NBF21,NBF,NBF21,"Fixation av ledytefragment i humeroskapularled, artroskopisk eller endoskopisk"
NBF22,NBF,NBF22,"Fixation av ledytefragment i humeroskapularled, öppen"
NBF30,NBF,NBF30,Perkutan eller sluten partiell excision av brosk i humeroskapularled
NBF31,NBF,NBF31,Artroskopisk eller endoskopisk partiell excision av brosk i humeroskapularled
NBF32,NBF,NBF32,Öppen partiell excision av ledbrosk i humeroskapularled
NBF90,NBF,NBF90,Annan perkutan eller sluten operation på ledhinnor eller ledytor i skulderled
NBF91,NBF,NBF91,Annan artroskopisk eller endoskopisk operation på ledhinnor eller ledytor i skulderled
NBF92,NBF,NBF92,Annan öppen operation på ledhinnor eller ledytor i skulderled
NBG,NB,NBG,"Excisioner, rekonstruktioner och artrodeser av skulderleder"
NBG09,NBG,NBG09,Excisionsartroplastik i humeroskapularled
NBG19,NBG,NBG19,Interpositionsartroplastik i humeroskapularled
NBG29,NBG,NBG29,Annan artroplastik i humeroskapularled utan protes
NBG39,NBG,NBG39,Artrodes av humeroskapularled utan fixationsmaterial
NBG49,NBG,NBG49,Artrodes av humeroskapularled med intern fixation
NBG59,NBG,NBG59,Artrodes av humeroskapularled med extern fixation
NBG99,NBG,NBG99,"Annan excision, rekonstruktion eller artrodes av skulderled"
NBH,NB,NBH,Diverse operationer på skulderleder
NBH00,NBH,NBH00,Perkutan eller sluten reposition av humeroskapularled
NBH01,NBH,NBH01,Artroskopisk eller endoskopisk reposition av humeroskapularled
NBH02,NBH,NBH02,Öppen reposition av humeroskapularled
NBH10,NBH,NBH10,Perkutan eller sluten reposition av akromioklavikularled eller sternoklavikularled
NBH11,NBH,NBH11,Artroskopisk eller endoskopisk reposition av akromioklavikularled eller sternoklavikularled
NBH12,NBH,NBH12,Öppen reposition av akromioklavikularled eller sternoklavikularled
NBH20,NBH,NBH20,Perkutan eller sluten reposition av luxerad protes i skulderled
NBH21,NBH,NBH21,Artroskopisk eller endoskopisk reposition av luxerad protes i skulderled
NBH22,NBH,NBH22,Öppen reposition av luxerad protes i skulderled
NBH30,NBH,NBH30,Perkutan eller sluten lösning av ledadherenser i skulderled
NBH31,NBH,NBH31,Artroskopisk eller endoskopisk lösning av ledadherenser i skulderled
NBH32,NBH,NBH32,Öppen lösning av ledadherenser i skulderled
NBH40,NBH,NBH40,Perkutan eller sluten extraktion av främmande eller fri kropp i humeroskapularled
NBH41,NBH,NBH41,Artroskopisk eller endoskopisk extraktion av främmande eller fri kropp i humeroskapularled
NBH42,NBH,NBH42,Öppen extraktion av främmande eller fri kropp i humeroskapularled
NBH50,NBH,NBH50,Perkutan eller sluten excision av intraartikulär exostos eller osteofyt i humeroskapularled
NBH51,NBH,NBH51,Artroskopisk eller endoskopisk excision av intraartikulär exostos eller osteofyt i humeroskapularled
NBH52,NBH,NBH52,Öppen excision av intraartikulär exostos eller osteofyt i humeroskapularled
NBH70,NBH,NBH70,Perkutan eller sluten operation för recidiverande luxation eller instabilitet i humeroskapularled
NBH71,NBH,NBH71,Artroskopisk eller endoskopisk operation för recidiverande luxation eller instabilitet i humeroskapularled
NBH72,NBH,NBH72,Öppen operation för recidiverande luxation eller instabilitet i humeroskapularled
NBH90,NBH,NBH90,Annan perkutan eller sluten operation på skulderled
NBH91,NBH,NBH91,Annan artroskopisk eller endoskopisk operation på skulderled
NBH92,NBH,NBH92,Annan öppen operation på skulderled
NBJ,NB,NBJ,Frakturkirurgi på axlar och överarmar
NBJ09,NBJ,NBJ09,Sluten reposition av fraktur i axel eller överarm
NBJ19,NBJ,NBJ19,Öppen reposition av fraktur i axel eller överarm
NBJ29,NBJ,NBJ29,Extern fixation av fraktur i axel eller överarm
NBJ39,NBJ,NBJ39,Osteosyntes av fraktur i axel eller överarm med bioimplantat
NBJ49,NBJ,NBJ49,"Osteosyntes av fraktur i axel eller överarm med cerklage, stift eller dylikt"
NBJ59,NBJ,NBJ59,Osteosyntes av fraktur i axel eller överarm med märgspik
NBJ69,NBJ,NBJ69,Osteosyntes av fraktur i axel eller överarm med platta och skruvar
NBJ79,NBJ,NBJ79,Osteosyntes av fraktur i axel eller överarm med skruvar enbart
NBJ89,NBJ,NBJ89,Osteosyntes av fraktur i axel eller överarm med annan eller kombinerad metod
NBJ99,NBJ,NBJ99,Annan operation vid fraktur på axel eller överarm
NBK,NB,NBK,Operationer på ben i axlar och överarmar
NBK09,NBK,NBK09,Excision av benfragment i axel eller överarm
NBK19,NBK,NBK19,Partiell eller total excision av ben i axel eller överarm
NBK29,NBK,NBK29,Fenestrering av ben i axel eller överarm
NBK39,NBK,NBK39,Curettage av bencysta i axel eller överarm
NBK49,NBK,NBK49,Epifyseodes i axel eller överarm
NBK59,NBK,NBK59,"Vinklings-, rotations- eller förskjutningsosteotomi i axel eller överarm"
NBK69,NBK,NBK69,Förkortnings- eller förlängningsosteotomi i axel eller överarm
NBK79,NBK,NBK79,Bentransportoperation i axel eller överarm
NBK89,NBK,NBK89,Epifysdistraktion i axel eller överarm
NBK99,NBK,NBK99,Annan operation på ben i axel eller överarm
NBL,NB,NBL,Operationer på muskler och senor i axlar och överarmar
NBL09,NBL,NBL09,Friläggning av muskel i axel eller överarm
NBL19,NBL,NBL19,Sutur eller rekonstruktion av muskel i axel eller överarm
NBL29,NBL,NBL29,Transposition av muskel i axel eller överarm
NBL39,NBL,NBL39,Myotomi eller tenotomi i axel eller överarm
NBL49,NBL,NBL49,Sutur eller reinsertion av sena i axel eller överarm
NBL59,NBL,NBL59,Tenolys eller tenosynovektomi i axel eller överarm
NBL69,NBL,NBL69,"Tenodes, förkortning eller förlängning av sena i axel eller överarm"
NBL79,NBL,NBL79,Excision av muskel eller sena i axel eller överarm
NBL89,NBL,NBL89,Transposition av sena i axel eller överarm
